file,description,link
1.csv,В космическом пространстве существует бесконечное количество объектов. Некоторые из них ближе чем мы думаем. Даже при том что мы можем думать что расстояние в 70 000 км потенциально не может причинить нам вреда но в астрономических масштабах это очень небольшое расстояние и может нарушить многие природные явления. Таким образом эти объекты/ астероиды могут оказаться вредными. Следовательно разумно знать что нас окружает и что может навредить нам среди них. Таким образом этот набор данных составляет список сертифицированных НАСА астероидов которые классифицируются как ближайший к Земле объект.,https://www.kaggle.com/datasets/sameepvani/nasa-nearest-earth-objects
2.csv,Набор данных для анализа и прогнозирования сердечных приступов,https://www.kaggle.com/datasets/rashikrahmanpritom/heart-attack-analysis-prediction-dataset?select=heart.csv
3.csv,Этот набор данных получен из Национального института диабета болезней органов пищеварения и почек. Цель набора данных состоит в том чтобы диагностически предсказать есть ли у пациента диабет или нет на основе определенных диагностических измерений включенных в набор данных. На выбор этих экземпляров из более крупной базы данных было наложено несколько ограничений. В частности все пациенты здесь - женщины в возрасте не менее 21 года индийского происхождения Пима.,https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database
4.csv,По данным Всемирной организации здравоохранения (ВОЗ) инсульт является 2-й по значимости причиной смерти в мире на его долю приходится примерно 11% от общего числа смертей. Этот набор данных используется для прогнозирования вероятности инсульта у пациента на основе входных параметров таких как пол возраст различные заболевания и статус курения. Каждая строка в данных содержит соответствующую информацию о пациенте.,https://www.kaggle.com/datasets/fedesoriano/stroke-prediction-dataset
5.csv,Машинное обучение с помощью R Бретта Ланца - это книга которая представляет собой введение в машинное обучение с использованием R. Насколько я могу судить Packt Publishing не делает свои наборы данных доступными онлайн если вы не купите книгу и не создадите учетную запись пользователя что может быть проблемой если вы берете книгу из библиотеки или позаимствовать книгу у друга. Все эти наборы данных находятся в общественном достоянии но просто нуждались в некоторой очистке и записи чтобы соответствовать формату в книге.,https://www.kaggle.com/datasets/mirichoi0218/insurance
6.csv,Этот набор данных содержит цены продажи домов в округе Кинг который включает Сиэтл. В него входят дома проданные в период с мая 2014 по май 2015 года. Это отличный набор данных для оценки простых регрессионных моделей.,https://www.kaggle.com/datasets/harlfoxem/housesalesprediction
7.csv,Набор данных содержит данные по 8 странам и одному специальному административному району (Китай Франция Германия Гонконг Индия Япония Испания Соединенное Королевство и Соединенные Штаты Америки) за период с 1980 по 2020 год. Он включает в себя основные макроэкономические факторы такие как инфляция безработица ВВП обменный курс (базовый доллар США) и доход на душу населения. Кроме того в нем есть цены акций основного фондового индекса соответствующей страны которые могут помочь в анализе набора данных для выявления влияния основных макроэкономических переменных на движение цен фондовых индексов.,https://www.kaggle.com/datasets/pratik453609/economic-data-9-countries-19802020
8.csv,Заработная плата в области науки о данных. Заработная плата рабочих мест в области науки о данных,https://www.kaggle.com/datasets/ruchi798/data-science-job-salaries
9.csv,Супермаркет это магазин самообслуживания предлагающий широкий выбор продуктов питания напитков и товаров для дома организованный по разделам. Этот тип магазина больше и имеет более широкий выбор чем предыдущие продуктовые магазины но меньше и более ограничен в ассортименте товаров чем гипермаркет или рынок больших коробок. Однако в повседневном использовании в США продуктовый магазин является синонимом супермаркета и не используется для обозначения других типов магазинов торгующих продуктами,https://www.kaggle.com/datasets/surajjha101/stores-area-and-sales-data
10.csv,Успеваемость студентов на экзаменах Оценки полученные учащимися по различным предметам Оценки полученные учащимися Этот набор данных состоит из оценок полученных учащимися по различным предметам.,https://www.kaggle.com/datasets/spscientist/students-performance-in-exams
